"Date","Price","Open","High","Low","Vol.","Change %"
"09/16/2019","17.05","16.73","17.31","16.69","3.05M","2.03%"
"09/17/2019","17.66","17.46","17.95","17.19","5.24M","3.58%"
"09/18/2019","17.78","17.77","18.00","17.35","5.83M","0.68%"
"09/19/2019","17.90","17.71","18.42","17.62","5.87M","0.67%"
"09/20/2019","18.07","18.14","18.39","17.75","25.24M","0.95%"
"09/23/2019","17.83","18.24","18.48","17.56","4.86M","-1.33%"
"09/24/2019","17.82","17.83","17.99","17.25","5.21M","-0.06%"
"09/25/2019","17.18","17.71","17.71","17.10","3.05M","-3.59%"
"09/26/2019","16.34","17.41","17.51","16.14","4.45M","-4.89%"
"09/27/2019","15.90","16.29","16.54","15.68","2.31M","-2.69%"
"09/30/2019","15.92","15.79","16.27","15.67","1.53M","0.13%"
"10/01/2019","14.81","15.87","16.06","14.80","1.54M","-6.97%"
"10/02/2019","14.86","14.78","15.01","14.42","1.78M","0.34%"
"10/03/2019","15.07","15.24","15.24","14.41","1.46M","1.41%"
"10/04/2019","15.51","15.05","15.57","14.89","1.02M","2.92%"
"10/07/2019","15.47","15.45","15.63","15.07","1.37M","-0.26%"
"10/08/2019","15.31","15.36","15.48","15.01","1.23M","-1.03%"
"10/09/2019","14.20","15.33","15.55","14.18","2.39M","-7.25%"
"10/10/2019","14.16","14.13","14.41","13.87","1.35M","-0.28%"
"10/11/2019","14.05","14.24","14.70","13.99","941.29K","-0.78%"
"10/14/2019","13.93","14.19","14.27","13.67","960.54K","-0.85%"
"10/15/2019","14.33","13.93","14.45","13.53","1.16M","2.87%"
"10/16/2019","14.15","14.27","14.32","14.02","915.08K","-1.26%"
"10/17/2019","14.54","14.23","14.72","14.15","1.03M","2.76%"
"10/18/2019","14.81","14.50","14.85","14.07","1.60M","1.86%"
"10/21/2019","15.50","14.90","15.59","14.66","931.44K","4.66%"
"10/22/2019","15.92","15.56","16.09","15.55","594.16K","2.71%"
"10/23/2019","16.90","16.16","17.01","16.09","1.51M","6.16%"
"10/24/2019","16.59","16.92","17.03","16.05","1.11M","-1.83%"
"10/25/2019","17.01","16.73","17.10","16.43","737.11K","2.53%"
"10/28/2019","17.03","17.01","17.15","16.81","652.39K","0.12%"
"10/29/2019","16.99","16.96","17.16","16.66","751.73K","-0.23%"
"10/30/2019","17.14","16.95","17.24","16.52","961.15K","0.88%"
"10/31/2019","16.75","17.03","17.15","16.49","1.02M","-2.28%"
"11/01/2019","15.66","16.80","16.89","15.52","1.60M","-6.51%"
"11/04/2019","16.80","15.90","16.80","15.83","1.36M","7.28%"
"11/05/2019","16.89","16.94","17.72","16.71","1.74M","0.54%"
"11/06/2019","16.13","16.83","17.49","16.05","1.58M","-4.50%"
"11/07/2019","17.50","16.33","17.61","16.28","2.04M","8.49%"
"11/08/2019","17.49","17.25","17.50","17.11","973.67K","-0.06%"
"11/11/2019","17.40","17.33","17.52","17.20","949.93K","-0.51%"
"11/12/2019","17.99","17.34","18.10","17.30","1.98M","3.39%"
"11/13/2019","18.25","18.00","18.50","17.71","2.01M","1.45%"
"11/14/2019","18.34","18.16","18.50","17.91","1.53M","0.49%"
"11/15/2019","19.37","18.39","19.43","18.35","1.88M","5.62%"
"11/18/2019","19.45","19.21","19.45","18.67","923.14K","0.41%"
"11/19/2019","19.36","19.27","19.87","19.08","1.14M","-0.46%"
"11/20/2019","20.18","19.38","20.40","19.35","2.32M","4.24%"
"11/21/2019","20.20","19.98","20.32","19.69","1.20M","0.10%"
"11/22/2019","20.69","20.07","20.73","19.86","1.44M","2.43%"
"11/25/2019","20.00","20.90","21.00","19.95","1.93M","-3.33%"
"11/26/2019","20.33","20.00","20.65","19.82","1.55M","1.65%"
"11/27/2019","20.37","20.28","20.70","19.99","1.56M","0.20%"
"11/29/2019","20.36","20.60","20.93","20.28","1.19M","-0.05%"
"12/02/2019","19.76","20.30","20.54","19.60","1.19M","-2.95%"
"12/03/2019","21.28","19.48","21.37","19.41","1.80M","7.69%"
"12/04/2019","21.27","21.00","21.47","20.93","1.98M","-0.05%"
"12/05/2019","20.64","21.49","21.50","20.57","1.48M","-2.96%"
"12/06/2019","18.94","20.78","21.04","18.82","3.54M","-8.24%"
"12/09/2019","18.78","19.07","19.30","18.67","2.82M","-0.84%"
"12/10/2019","18.87","18.78","19.09","18.58","1.62M","0.48%"
"12/11/2019","18.65","19.03","19.11","18.53","1.23M","-1.17%"
"12/12/2019","18.45","18.56","19.05","18.32","1.31M","-1.07%"
"12/13/2019","18.62","18.47","18.72","18.32","1.30M","0.92%"
"12/16/2019","18.52","18.60","18.97","18.22","1.79M","-0.54%"
"12/17/2019","18.44","18.54","18.70","18.31","1.65M","-0.43%"
"12/18/2019","18.64","18.48","19.00","18.48","1.28M","1.08%"
"12/19/2019","19.41","18.58","19.67","18.50","2.10M","4.13%"
"12/20/2019","19.83","19.40","20.00","19.05","10.93M","2.16%"
"12/23/2019","19.70","19.79","19.85","19.34","1.79M","-0.66%"
"12/24/2019","19.75","19.69","19.79","19.35","488.92K","0.25%"
"12/26/2019","19.86","19.82","20.11","19.66","750.32K","0.56%"
"12/27/2019","19.52","19.99","20.00","19.25","1.05M","-1.71%"
"12/30/2019","19.05","19.54","19.94","18.94","1.18M","-2.41%"
"12/31/2019","19.56","18.96","19.64","18.96","1.11M","2.68%"
"01/02/2020","19.23","19.57","19.81","18.88","1.23M","-1.69%"
"01/03/2020","18.89","19.02","19.36","18.72","1.75M","-1.77%"
"01/06/2020","18.13","18.70","18.74","18.01","1.61M","-4.02%"
"01/07/2020","17.78","18.15","18.32","17.68","1.46M","-1.93%"
"01/08/2020","17.98","17.99","18.08","17.76","1.04M","1.12%"
"01/09/2020","18.40","18.00","18.55","17.90","1.53M","2.34%"
"01/10/2020","19.14","21.00","21.00","19.05","4.50M","4.02%"
"01/13/2020","20.26","19.26","20.36","18.60","2.21M","5.85%"
