"Date","Price","Open","High","Low","Vol.","Change %"
"11/23/2021","276.38","277.74","281.98","269.18","6.90M","-2.23%"
"11/24/2021","273.39","273.01","275.28","266.31","4.76M","-1.08%"
"11/26/2021","329.63","319.34","350.15","313.00","35.90M","20.57%"
"11/29/2021","368.51","370.33","376.65","350.27","33.95M","11.80%"
"11/30/2021","352.43","351.58","357.64","337.29","25.16M","-4.36%"
"12/01/2021","310.61","330.00","336.36","310.57","21.60M","-11.87%"
"12/02/2021","301.49","301.29","318.47","291.03","15.41M","-2.94%"
"12/03/2021","306.72","318.09","318.79","293.60","12.70M","1.73%"
"12/06/2021","265.33","280.85","287.48","256.56","19.84M","-13.49%"
"12/07/2021","282.35","268.14","287.77","263.07","10.77M","6.41%"
"12/08/2021","283.40","282.38","288.28","272.91","7.11M","0.37%"
"12/09/2021","272.21","285.19","285.71","271.33","5.23M","-3.95%"
"12/10/2021","257.06","235.40","261.97","233.51","17.51M","-5.57%"
"12/13/2021","271.99","257.40","275.78","256.97","10.59M","5.81%"
"12/14/2021","277.16","264.30","278.33","257.20","6.44M","1.90%"
"12/15/2021","283.28","271.80","290.35","271.55","9.27M","2.21%"
"12/16/2021","282.02","284.20","287.13","277.07","5.97M","-0.44%"
"12/17/2021","294.80","275.57","296.39","269.00","10.63M","4.53%"
"12/20/2021","276.38","321.30","321.30","275.12","16.99M","-6.25%"
"12/21/2021","268.14","275.50","281.30","257.20","12.54M","-2.98%"
"12/22/2021","251.36","264.06","267.00","245.50","13.96M","-6.26%"
"12/23/2021","249.99","250.41","253.65","238.50","9.84M","-0.55%"
"12/27/2021","246.88","243.00","252.72","240.58","8.26M","-1.24%"
"12/28/2021","241.44","245.37","254.57","237.58","9.29M","-2.20%"
"12/29/2021","247.88","239.33","249.49","233.20","9.14M","2.67%"
"12/30/2021","251.60","243.83","254.32","242.13","6.58M","1.50%"
"12/31/2021","253.98","249.88","259.20","246.70","6.82M","0.95%"
"01/03/2022","235.05","247.12","249.42","231.08","11.89M","-7.45%"
"01/04/2022","233.06","232.20","239.43","225.24","10.46M","-0.85%"
"01/05/2022","215.23","232.10","237.88","214.60","9.04M","-7.65%"
"01/06/2022","216.06","216.04","222.22","205.23","8.17M","0.39%"
"01/07/2022","213.86","216.41","221.97","211.95","5.28M","-1.02%"
"01/10/2022","233.70","211.37","241.99","207.50","17.19M","9.28%"
"01/11/2022","221.39","226.00","228.00","220.28","7.33M","-5.27%"
"01/12/2022","222.89","220.48","228.50","218.76","5.85M","0.68%"
"01/13/2022","210.17","219.56","221.50","209.58","7.41M","-5.71%"
"01/14/2022","204.73","204.01","212.76","200.08","10.17M","-2.59%"
"01/18/2022","186.61","196.91","198.82","185.39","11.04M","-8.85%"
"01/19/2022","174.07","188.84","191.34","173.41","10.60M","-6.72%"
"01/20/2022","167.52","174.99","177.47","166.21","11.49M","-3.76%"
"01/21/2022","160.07","166.23","171.25","157.29","11.80M","-4.45%"
"01/24/2022","157.30","153.47","158.00","138.17","16.64M","-1.73%"
"01/25/2022","152.54","156.01","168.26","150.00","11.47M","-3.03%"
"01/26/2022","154.96","157.99","165.85","152.80","9.30M","1.59%"
"01/27/2022","148.62","157.43","158.28","146.54","8.66M","-4.09%"
"01/28/2022","159.47","149.95","159.87","146.76","6.76M","7.30%"
"01/31/2022","169.33","160.05","170.33","154.56","9.29M","6.18%"
"02/01/2022","172.74","175.20","177.57","167.29","7.33M","2.01%"
"02/02/2022","169.61","170.81","177.20","163.58","5.40M","-1.81%"
"02/03/2022","163.95","165.07","170.10","163.20","4.49M","-3.34%"
"02/04/2022","163.01","165.64","167.50","160.25","4.38M","-0.57%"
"02/07/2022","160.27","162.20","165.54","156.27","4.43M","-1.68%"
"02/08/2022","153.31","155.20","157.17","147.57","7.62M","-4.34%"
"02/09/2022","164.03","154.37","164.23","154.17","5.62M","6.99%"
"02/10/2022","160.42","158.00","168.67","157.54","5.97M","-2.20%"
"02/11/2022","161.32","161.25","168.79","160.08","5.25M","0.56%"
"02/14/2022","142.47","157.53","159.50","138.14","16.67M","-11.68%"
"02/15/2022","151.12","142.49","152.93","139.21","10.90M","6.07%"
"02/16/2022","151.81","147.62","152.39","144.50","5.54M","0.46%"
"02/17/2022","146.36","150.20","154.66","145.28","6.18M","-3.59%"
"02/18/2022","145.74","147.55","151.46","141.31","5.46M","-0.42%"
"02/22/2022","144.97","142.26","151.20","141.86","6.64M","-0.53%"
"02/23/2022","135.73","145.17","145.72","134.00","7.82M","-6.37%"
"02/24/2022","156.23","139.87","156.42","138.12","17.40M","15.10%"
"02/25/2022","151.33","156.02","156.19","147.01","7.82M","-3.14%"
"02/28/2022","153.60","150.98","155.47","147.44","6.60M","1.50%"
"03/01/2022","149.52","152.48","156.38","147.92","4.84M","-2.66%"
"03/02/2022","147.86","149.44","150.57","140.44","5.39M","-1.11%"
"03/03/2022","141.52","147.90","149.23","139.53","4.62M","-4.29%"
"03/04/2022","136.46","140.82","143.91","135.91","5.51M","-3.58%"
"03/07/2022","126.46","135.12","138.40","126.28","6.18M","-7.33%"
"03/08/2022","129.28","125.00","136.96","122.01","6.68M","2.23%"
"03/09/2022","142.49","132.07","145.28","132.05","9.53M","10.22%"
"03/10/2022","139.52","139.51","140.83","135.85","5.56M","-2.08%"
"03/11/2022","138.20","140.75","145.80","138.00","5.36M","-0.95%"
"03/14/2022","150.07","140.20","166.75","139.73","22.84M","8.59%"
"03/15/2022","148.12","156.27","158.00","141.75","13.19M","-1.30%"
"03/16/2022","169.36","150.00","169.80","149.67","14.09M","14.34%"
"03/17/2022","168.26","167.75","172.14","160.66","7.79M","-0.65%"
"03/18/2022","178.93","171.58","180.80","170.10","12.53M","6.34%"
"03/21/2022","175.38","179.91","182.60","172.44","6.02M","-1.98%"
"03/22/2022","186.72","175.38","188.00","168.18","8.57M","6.47%"
"03/23/2022","178.73","184.66","185.75","176.80","7.32M","-4.28%"
"03/24/2022","179.68","175.84","181.86","172.35","6.32M","0.53%"
"03/25/2022","165.92","178.25","179.19","163.03","8.29M","-7.66%"
"03/28/2022","173.08","167.37","174.45","165.80","6.44M","4.32%"
"03/29/2022","180.64","174.07","182.10","171.03","7.23M","4.37%"
"03/30/2022","174.92","182.57","187.71","172.77","7.03M","-3.17%"
"03/31/2022","172.26","175.22","178.44","171.11","5.68M","-1.52%"
"04/01/2022","176.59","173.35","179.03","170.60","4.91M","2.51%"
"04/04/2022","172.54","177.24","180.87","171.07","5.92M","-2.29%"
"04/05/2022","162.05","169.25","172.40","160.43","6.65M","-6.08%"
"04/06/2022","154.62","157.48","161.64","150.71","7.41M","-4.59%"
"04/07/2022","159.00","153.13","159.77","151.39","5.73M","2.83%"
"04/08/2022","160.84","156.79","165.18","156.60","5.46M","1.16%"
"04/11/2022","160.00","156.00","163.35","152.10","5.23M","-0.52%"
"04/12/2022","159.50","158.99","164.78","157.00","5.04M","-0.31%"
"04/13/2022","169.66","158.37","172.46","155.69","6.74M","6.37%"
"04/14/2022","165.49","168.59","170.75","164.85","4.35M","-2.46%"
"04/18/2022","154.75","165.00","165.89","154.27","4.83M","-6.49%"
